Termd,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,Absences,DaysLateLast30,YearsAtCompany,OverTime,WorkLifeBalance,Department,PerformanceScore,RecruitmentSource,MaritalStatus,AgeBracket,SalaryBand,satisfaction_trend,Sex,RaceDesc,employee_id,departure_cause,exit_feedback,source_dataset,Position
0,4.66,5,0,1,0,14.7,0,4,4,0,5,3,2,3,1,1,6,7d2fc9495183,,,dr_rich,Production Technician I
1,4.95,3,6,17,0,1.2,1,3,3,1,4,1,0,0,2,1,6,3a6c1f8a814f,compensation,I enjoyed the team but the total compensation package wasn't competitive. Benefits and base salary both fell below industry standard.,dr_rich,Sr. DBA
1,3.11,3,0,3,0,1.2,0,4,4,1,5,1,2,3,0,0,6,c9cafe91c606,compensation,"After 1 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Production Technician II
0,4.84,5,0,15,0,18.2,0,3,4,1,4,1,2,3,1,0,6,0752b7502cfd,,,dr_rich,Production Technician I
1,5.0,4,0,2,0,5.2,0,4,4,1,3,0,2,3,1,0,6,8eed0dd6fa6e,relocation,My spouse accepted a position in another city. I explored transfer options but none were available in my department.,dr_rich,Production Technician I
0,5.0,5,0,15,0,14.2,0,3,4,0,5,3,3,3,1,0,6,25e54ad8bb67,,,dr_rich,Production Technician I
0,2.99,3,4,19,0,11.3,1,2,7,1,5,3,3,4,2,0,6,0958d5501efe,,,dr_rich,Software Engineer
0,5.0,4,0,19,0,12.5,1,3,4,1,2,4,2,3,1,1,6,ccc08fc31d83,,,dr_rich,Production Technician I
0,4.4,3,0,4,0,16.7,0,4,4,1,1,3,0,2,2,0,2,42c52e1ef296,,,dr_rich,Production Technician I
0,4.91,5,6,16,0,11.2,1,3,3,1,4,0,2,3,1,1,6,4cd9bcfcef0f,,,dr_rich,IT Support
1,4.16,4,0,12,0,6.0,0,3,4,1,1,1,0,3,1,0,2,efccd9316e0e,career_growth,The lack of internal mobility is frustrating. I asked about lateral moves twice and was told to wait. I found a company that invests in career development.,dr_rich,Production Technician I
1,4.12,3,0,15,0,4.5,0,4,4,1,1,1,0,2,0,1,2,e4d632747bd0,work_life_balance,I need better work-life balance. The constant pressure and lack of remote work options made it difficult to manage personal responsibilities.,dr_rich,Production Technician I
0,4.21,4,5,9,0,11.3,0,4,3,0,1,0,2,4,1,1,2,aba2d39757c9,,,dr_rich,Data Analyst
0,4.61,4,0,7,0,14.1,0,4,4,1,3,3,2,3,1,1,4,cb8e8993563f,,,dr_rich,Production Technician I
