Termd,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,Absences,DaysLateLast30,Department,PerformanceScore,RecruitmentSource,source_dataset
0,4.6,5.0,0,1,0,Production,Exceeds,LinkedIn,dr_rich
1,4.96,3.0,6,17,0,IT/IS,Fully Meets,Indeed,dr_rich
1,3.02,3.0,0,3,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.84,5.0,0,15,0,Production,Fully Meets,Indeed,dr_rich
1,5.0,4.0,0,2,0,Production,Fully Meets,Google Search,dr_rich
0,5.0,5.0,0,15,0,Production,Exceeds,LinkedIn,dr_rich
0,3.04,3.0,4,19,0,Software Engineering,Fully Meets,LinkedIn,dr_rich
0,5.0,4.0,0,19,0,Production,Fully Meets,Employee Referral,dr_rich
0,4.46,3.0,0,4,0,Production,Fully Meets,Diversity Job Fair,dr_rich
0,5.0,5.0,6,16,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.2,4.0,0,12,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,4.2,3.0,0,15,0,Production,Fully Meets,Diversity Job Fair,dr_rich
0,4.28,4.0,5,9,0,IT/IS,Exceeds,Diversity Job Fair,dr_rich
0,4.6,4.0,0,7,0,Production,Fully Meets,Google Search,dr_rich
1,5.0,5.0,0,1,0,Production,Fully Meets,On-line Web application,dr_rich
1,5.0,4.0,0,20,0,Production,Fully Meets,Google Search,dr_rich
0,4.4,3.0,0,16,0,Production,Exceeds,Employee Referral,dr_rich
0,5.0,5.0,0,12,0,Production,Fully Meets,Google Search,dr_rich
1,4.5,4.0,5,8,0,IT/IS,Fully Meets,Google Search,dr_rich
0,4.2,4.0,0,13,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,3.0,0,13,0,Production,Fully Meets,Google Search,dr_rich
0,4.2,3.0,0,2,0,Production,Fully Meets,Indeed,dr_rich
0,5.0,3.0,0,19,0,Production,Exceeds,Indeed,dr_rich
0,2.0,3.0,0,3,2,Production,Needs Improvement,CareerBuilder,dr_rich
1,4.8,5.0,0,5,0,Production,Fully Meets,Google Search,dr_rich
1,3.5,5.0,7,2,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,5.0,4.0,3,4,0,Admin Offices,Fully Meets,Diversity Job Fair,dr_rich
1,3.39,3.0,0,14,0,Production,Fully Meets,Indeed,dr_rich
1,3.35,4.0,0,6,0,Production,Fully Meets,Google Search,dr_rich
0,4.5,2.0,6,14,0,Admin Offices,Fully Meets,Diversity Job Fair,dr_rich
0,3.19,3.0,0,9,0,Production,Fully Meets,Google Search,dr_rich
0,3.5,5.0,0,17,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,3.14,5.0,0,19,1,Sales,Fully Meets,Google Search,dr_rich
0,4.51,4.0,0,3,0,Production,Fully Meets,Employee Referral,dr_rich
0,3.25,5.0,0,15,0,Production,Fully Meets,Indeed,dr_rich
0,3.84,3.0,5,4,0,Software Engineering,Fully Meets,Google Search,dr_rich
0,5.0,3.0,0,14,0,Production,Exceeds,Indeed,dr_rich
0,4.96,4.0,6,3,0,Software Engineering,Fully Meets,Indeed,dr_rich
0,4.43,3.0,0,14,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,5.0,6,7,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,5.0,5.0,0,7,0,Sales,Fully Meets,Indeed,dr_rich
0,5.0,4.0,0,11,0,Production,Fully Meets,Google Search,dr_rich
0,4.5,5.0,7,8,0,IT/IS,Fully Meets,Indeed,dr_rich
0,3.3,4.0,0,11,0,Production,Fully Meets,Indeed,dr_rich
0,3.8,5.0,0,4,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.0,5.0,0,17,0,Sales,Fully Meets,Employee Referral,dr_rich
1,4.3,4.0,0,3,0,Production,Fully Meets,Indeed,dr_rich
0,3.58,5.0,0,3,0,Production,Fully Meets,Indeed,dr_rich
0,4.7,3.0,6,2,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.2,5.0,0,9,0,Production,Fully Meets,Google Search,dr_rich
1,4.2,4.0,0,6,0,Production,Fully Meets,Indeed,dr_rich
0,4.1,4.0,0,5,0,Production,Exceeds,Employee Referral,dr_rich
0,4.4,5.0,0,3,0,Production,Fully Meets,Employee Referral,dr_rich
1,2.0,3.0,0,16,5,Production,Needs Improvement,LinkedIn,dr_rich
0,4.13,2.0,0,3,3,Production,Needs Improvement,CareerBuilder,dr_rich
0,3.7,5.0,0,15,0,Production,Exceeds,Indeed,dr_rich
0,4.73,5.0,0,6,0,Production,Fully Meets,Indeed,dr_rich
0,3.04,3.0,6,2,0,IT/IS,Fully Meets,Indeed,dr_rich
0,4.12,5.0,0,15,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,3.0,4,5,0,IT/IS,Fully Meets,Employee Referral,dr_rich
0,4.62,4.0,0,8,0,Sales,Fully Meets,Indeed,dr_rich
0,3.1,5.0,8,19,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,5.0,3.0,0,1,0,Production,Fully Meets,Indeed,dr_rich
0,3.96,4.0,0,6,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.3,4.0,3,2,2,Production,Fully Meets,Indeed,dr_rich
1,5.0,4.0,0,14,0,Production,Fully Meets,Indeed,dr_rich
0,3.79,5.0,5,8,0,Software Engineering,Fully Meets,CareerBuilder,dr_rich
0,1.93,3.0,0,5,6,Sales,PIP,Indeed,dr_rich
1,4.62,5.0,0,1,0,Production,Fully Meets,Google Search,dr_rich
0,1.12,2.0,0,9,4,Production,PIP,Indeed,dr_rich
0,3.01,5.0,7,15,0,IT/IS,Fully Meets,Indeed,dr_rich
0,4.3,4.0,0,1,0,Production,Fully Meets,Indeed,dr_rich
0,2.3,1.0,0,17,2,Sales,PIP,Website,dr_rich
0,3.88,4.0,0,6,0,Production,Needs Improvement,Indeed,dr_rich
0,3.4,5.0,0,15,0,Production,Fully Meets,CareerBuilder,dr_rich
0,4.11,4.0,6,16,0,IT/IS,Fully Meets,Employee Referral,dr_rich
0,4.3,5.0,5,4,0,IT/IS,Exceeds,Indeed,dr_rich
0,4.77,5.0,0,14,0,Sales,Exceeds,Indeed,dr_rich
0,4.52,4.0,0,4,0,Production,Fully Meets,Google Search,dr_rich
0,2.9,3.0,0,6,0,Production,Fully Meets,Google Search,dr_rich
1,5.0,3.0,0,7,0,Production,Fully Meets,Google Search,dr_rich
0,4.7,5.0,0,8,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.2,3.0,0,3,0,Production,Fully Meets,Employee Referral,dr_rich
0,3.0,1.0,0,5,2,Production,PIP,Indeed,dr_rich
1,5.0,4.0,0,16,5,Production,Needs Improvement,Google Search,dr_rich
1,2.3,3.0,0,19,5,Production,Needs Improvement,Google Search,dr_rich
1,2.1,5.0,4,19,4,Software Engineering,Needs Improvement,Indeed,dr_rich
0,4.4,5.0,0,17,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.0,4.0,0,7,0,Production,Fully Meets,LinkedIn,dr_rich
1,3.13,3.0,0,16,0,Production,Fully Meets,Google Search,dr_rich
0,1.56,5.0,0,15,6,Production,PIP,Indeed,dr_rich
0,1.2,3.0,6,2,3,IT/IS,PIP,LinkedIn,dr_rich
0,5.0,5.0,0,19,0,Production,Fully Meets,Google Search,dr_rich
1,4.76,5.0,0,20,0,Production,Fully Meets,Google Search,dr_rich
1,3.66,3.0,0,6,0,Production,Fully Meets,Google Search,dr_rich
1,2.0,5.0,0,7,4,Sales,PIP,Employee Referral,dr_rich
0,5.0,5.0,5,15,0,IT/IS,Exceeds,Indeed,dr_rich
0,5.0,3.0,2,3,0,Admin Offices,Fully Meets,Other,dr_rich
0,4.3,3.0,0,7,2,Sales,Fully Meets,CareerBuilder,dr_rich
0,4.7,4.0,5,1,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,4.5,3.0,0,5,0,Production,Fully Meets,Employee Referral,dr_rich
0,4.2,4.0,0,12,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.73,3.0,0,19,0,Production,Fully Meets,LinkedIn,dr_rich
1,4.24,4.0,0,2,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,3.97,4.0,0,7,0,Sales,Fully Meets,CareerBuilder,dr_rich
1,3.97,4.0,0,15,3,Production,Needs Improvement,Diversity Job Fair,dr_rich
0,3.9,4.0,0,3,0,Production,Exceeds,Indeed,dr_rich
0,4.5,5.0,0,20,0,Sales,Fully Meets,Indeed,dr_rich
1,4.6,4.0,4,10,0,IT/IS,Fully Meets,Indeed,dr_rich
0,4.3,5.0,7,20,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,4.3,5.0,0,7,0,Production,Fully Meets,Indeed,dr_rich
0,4.5,4.0,0,1,0,Production,Exceeds,Diversity Job Fair,dr_rich
1,3.0,3.0,0,10,3,Production,PIP,Diversity Job Fair,dr_rich
0,4.61,4.0,5,11,0,IT/IS,Fully Meets,Employee Referral,dr_rich
0,4.6,3.0,0,20,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,3.0,0,2,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.4,5.0,0,1,0,Production,Fully Meets,Google Search,dr_rich
0,4.1,5.0,0,3,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.63,3.0,0,2,0,Production,Fully Meets,Employee Referral,dr_rich
1,5.0,5.0,0,17,0,Production,Fully Meets,CareerBuilder,dr_rich
0,4.2,5.0,5,8,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.5,5.0,0,20,0,Sales,Fully Meets,LinkedIn,dr_rich
0,4.2,4.0,0,13,0,Production,Fully Meets,Google Search,dr_rich
0,5.0,3.0,0,20,0,Production,Fully Meets,LinkedIn,dr_rich
1,4.64,4.0,0,8,0,Production,Fully Meets,CareerBuilder,dr_rich
0,4.76,4.0,0,5,0,Production,Exceeds,CareerBuilder,dr_rich
0,4.17,4.0,0,1,0,Production,Fully Meets,Google Search,dr_rich
1,5.0,3.0,0,15,0,Production,Fully Meets,CareerBuilder,dr_rich
0,3.6,5.0,0,9,0,Sales,Fully Meets,Indeed,dr_rich
1,3.03,5.0,0,16,0,Production,Fully Meets,Indeed,dr_rich
0,4.48,5.0,6,4,0,IT/IS,Fully Meets,Indeed,dr_rich
0,4.5,4.0,0,19,0,Sales,Fully Meets,LinkedIn,dr_rich
1,3.24,3.0,4,6,0,Admin Offices,Fully Meets,Indeed,dr_rich
0,4.8,4.0,0,4,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.0,5.0,0,4,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.5,3.0,0,6,0,Production,Fully Meets,Indeed,dr_rich
1,3.72,3.0,0,18,0,Production,Fully Meets,Google Search,dr_rich
1,2.34,2.0,0,4,3,Production,Needs Improvement,Indeed,dr_rich
0,3.99,3.0,0,14,0,Production,Fully Meets,Indeed,dr_rich
0,4.1,3.0,0,7,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.3,5.0,0,7,0,Production,Fully Meets,Employee Referral,dr_rich
0,4.6,4.0,0,11,0,Production,Exceeds,LinkedIn,dr_rich
0,5.0,5.0,0,9,0,Production,Fully Meets,LinkedIn,dr_rich
1,4.7,4.0,0,9,0,Production,Exceeds,CareerBuilder,dr_rich
0,3.75,3.0,5,2,0,IT/IS,Fully Meets,Indeed,dr_rich
0,4.3,3.0,0,1,0,Production,Exceeds,LinkedIn,dr_rich
1,4.0,4.0,0,4,0,Production,Fully Meets,CareerBuilder,dr_rich
1,4.5,5.0,0,2,0,Sales,Fully Meets,Google Search,dr_rich
0,3.07,4.0,0,10,0,Production,Fully Meets,Indeed,dr_rich
0,4.3,5.0,0,13,0,Sales,Fully Meets,Indeed,dr_rich
0,4.83,3.0,0,10,0,Executive Office,Fully Meets,Indeed,dr_rich
1,3.6,5.0,0,16,0,Production,Fully Meets,Google Search,dr_rich
1,3.49,4.0,0,6,0,Production,Fully Meets,Google Search,dr_rich
0,3.1,3.0,0,3,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.38,3.0,0,17,0,Production,Fully Meets,Indeed,dr_rich
0,3.65,5.0,0,20,0,Sales,Fully Meets,Diversity Job Fair,dr_rich
0,4.46,5.0,6,7,0,IT/IS,Fully Meets,Employee Referral,dr_rich
1,4.78,4.0,0,9,0,Production,Fully Meets,Employee Referral,dr_rich
1,4.52,3.0,0,20,0,Production,Fully Meets,Indeed,dr_rich
0,5.0,5.0,0,13,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,4.0,4,3,0,Admin Offices,Fully Meets,Website,dr_rich
1,4.9,3.0,0,20,0,Production,Fully Meets,Google Search,dr_rich
0,4.1,5.0,7,2,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.88,3.0,0,17,0,Production,Fully Meets,CareerBuilder,dr_rich
0,4.1,4.0,0,20,0,Admin Offices,Fully Meets,CareerBuilder,dr_rich
0,4.1,3.0,0,10,0,Production,Fully Meets,Google Search,dr_rich
0,4.53,3.0,0,16,0,Sales,Fully Meets,Website,dr_rich
0,4.1,3.0,0,11,0,Production,Exceeds,Website,dr_rich
1,3.18,4.0,0,16,0,Production,Fully Meets,Indeed,dr_rich
0,4.0,3.0,0,7,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.64,4.0,5,14,0,IT/IS,Exceeds,Diversity Job Fair,dr_rich
1,4.65,4.0,0,15,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.2,4.0,0,19,0,Production,Exceeds,Indeed,dr_rich
0,5.0,3.0,0,6,0,Production,Fully Meets,Website,dr_rich
1,5.0,4.0,0,17,0,Production,Exceeds,Diversity Job Fair,dr_rich
1,3.08,4.0,0,18,0,Production,Fully Meets,Indeed,dr_rich
0,4.6,4.0,0,14,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,3.0,0,4,0,Production,Fully Meets,LinkedIn,dr_rich
1,5.0,4.0,0,16,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.1,3.0,0,11,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.5,5.0,4,14,0,Software Engineering,Fully Meets,Google Search,dr_rich
0,5.0,4.0,0,8,0,Production,Fully Meets,Indeed,dr_rich
0,5.0,5.0,0,16,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.93,3.0,0,20,0,Production,Fully Meets,CareerBuilder,dr_rich
0,3.4,4.0,0,7,0,Sales,Fully Meets,Website,dr_rich
1,4.18,4.0,0,17,0,Production,Fully Meets,Diversity Job Fair,dr_rich
0,5.0,4.0,0,10,0,Production,Fully Meets,CareerBuilder,dr_rich
0,4.37,3.0,0,2,0,Production,Fully Meets,Indeed,dr_rich
1,3.0,2.0,0,6,6,Production,PIP,LinkedIn,dr_rich
0,3.7,3.0,0,14,0,Production,Fully Meets,LinkedIn,dr_rich
0,2.39,3.0,6,13,4,IT/IS,Needs Improvement,Diversity Job Fair,dr_rich
0,4.7,3.0,0,1,0,Production,Exceeds,Indeed,dr_rich
0,4.1,4.0,0,12,0,Production,Fully Meets,Diversity Job Fair,dr_rich
0,3.81,3.0,6,6,0,IT/IS,Fully Meets,CareerBuilder,dr_rich
0,4.4,4.0,0,18,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.29,5.0,0,11,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.1,4.0,0,13,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,3.0,6,17,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.3,3.0,0,19,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,3.18,3.0,0,10,0,Production,Fully Meets,Employee Referral,dr_rich
0,5.0,5.0,0,11,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.0,3.0,0,12,0,Production,Exceeds,Diversity Job Fair,dr_rich
0,5.0,5.0,0,2,0,Sales,Fully Meets,Indeed,dr_rich
0,3.6,5.0,0,4,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.53,5.0,0,5,0,Production,Fully Meets,Indeed,dr_rich
1,2.33,2.0,0,3,6,Production,PIP,LinkedIn,dr_rich
1,5.0,3.0,0,17,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.28,3.0,0,1,0,Sales,Fully Meets,Indeed,dr_rich
0,5.0,3.0,0,13,0,Production,Exceeds,LinkedIn,dr_rich
0,4.25,3.0,0,6,4,Production,Needs Improvement,LinkedIn,dr_rich
0,5.0,5.0,0,18,0,Sales,Fully Meets,Website,dr_rich
1,3.89,4.0,0,7,0,Production,Fully Meets,Google Search,dr_rich
1,5.0,5.0,3,13,0,Software Engineering,Exceeds,Diversity Job Fair,dr_rich
1,4.7,4.0,5,19,0,IT/IS,Fully Meets,Employee Referral,dr_rich
1,3.54,5.0,0,15,4,Production,Needs Improvement,Google Search,dr_rich
1,2.4,5.0,0,2,5,Production,Needs Improvement,CareerBuilder,dr_rich
1,3.45,4.0,0,5,0,Production,Fully Meets,LinkedIn,dr_rich
1,4.2,5.0,0,12,0,Production,Exceeds,Indeed,dr_rich
1,4.16,5.0,0,6,0,Production,Fully Meets,Indeed,dr_rich
0,4.3,3.0,0,14,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.6,5.0,7,16,0,IT/IS,Exceeds,Employee Referral,dr_rich
1,5.0,3.0,0,13,0,Production,Fully Meets,Google Search,dr_rich
0,3.66,3.0,0,15,0,Production,Fully Meets,Google Search,dr_rich
0,4.2,5.0,0,9,0,Sales,Fully Meets,Website,dr_rich
1,3.17,4.0,0,14,0,Production,Fully Meets,Google Search,dr_rich
0,4.8,3.0,0,14,0,Production,Fully Meets,Employee Referral,dr_rich
1,4.5,5.0,0,16,0,Production,Fully Meets,Indeed,dr_rich
1,4.15,4.0,0,4,0,Software Engineering,Fully Meets,Diversity Job Fair,dr_rich
0,4.4,4.0,6,10,0,IT/IS,Fully Meets,Indeed,dr_rich
1,3.8,5.0,0,19,0,Production,Fully Meets,Indeed,dr_rich
0,3.98,3.0,0,4,0,Sales,Fully Meets,CareerBuilder,dr_rich
1,5.0,4.0,0,11,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.36,5.0,0,16,0,Production,Exceeds,Google Search,dr_rich
1,4.5,4.0,0,10,0,Production,Fully Meets,Google Search,dr_rich
1,4.2,5.0,0,13,0,Production,Fully Meets,Indeed,dr_rich
1,5.0,3.0,0,11,0,Production,Fully Meets,Indeed,dr_rich
1,3.6,3.0,0,16,4,Production,Needs Improvement,Indeed,dr_rich
0,3.6,5.0,0,4,0,Production,Exceeds,Employee Referral,dr_rich
0,3.69,5.0,6,15,0,IT/IS,Fully Meets,Employee Referral,dr_rich
1,3.88,3.0,7,12,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,4.94,3.0,5,17,0,IT/IS,Fully Meets,Indeed,dr_rich
0,5.0,4.0,0,8,0,Production,Fully Meets,Website,dr_rich
1,5.0,5.0,0,4,0,Production,Fully Meets,Google Search,dr_rich
0,3.6,5.0,7,13,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.3,4.0,6,8,0,IT/IS,Fully Meets,Diversity Job Fair,dr_rich
0,4.2,3.0,6,2,0,Software Engineering,Fully Meets,Indeed,dr_rich
0,2.6,4.0,0,4,5,Production,Needs Improvement,Diversity Job Fair,dr_rich
1,4.6,5.0,0,7,0,Production,Fully Meets,Google Search,dr_rich
0,4.1,3.0,0,13,0,Production,Fully Meets,CareerBuilder,dr_rich
1,4.2,3.0,5,2,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,3.51,3.0,0,2,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,5.0,0,14,0,Production,Fully Meets,Google Search,dr_rich
0,3.31,3.0,6,7,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,4.81,4.0,0,15,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.32,3.0,7,16,0,IT/IS,Fully Meets,Employee Referral,dr_rich
0,5.0,3.0,5,2,0,Admin Offices,Fully Meets,Website,dr_rich
1,4.68,4.0,0,20,0,Production,Fully Meets,CareerBuilder,dr_rich
0,4.3,3.0,0,4,0,Production,Exceeds,Indeed,dr_rich
0,2.4,4.0,0,16,2,Sales,Needs Improvement,Diversity Job Fair,dr_rich
1,3.8,4.0,4,17,0,Admin Offices,Fully Meets,Diversity Job Fair,dr_rich
0,3.73,3.0,0,16,0,Production,Fully Meets,Employee Referral,dr_rich
0,4.3,3.0,5,19,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,3.27,4.0,5,13,0,IT/IS,Fully Meets,LinkedIn,dr_rich
0,2.4,2.0,1,20,6,Production,PIP,Indeed,dr_rich
0,4.83,5.0,0,15,0,Production,Fully Meets,LinkedIn,dr_rich
1,4.1,4.0,0,16,0,Production,Exceeds,LinkedIn,dr_rich
0,4.1,4.0,0,9,0,Production,Fully Meets,Google Search,dr_rich
0,1.81,2.0,0,5,3,Sales,PIP,Website,dr_rich
0,3.9,5.0,5,9,0,Admin Offices,Fully Meets,Indeed,dr_rich
0,4.7,3.0,0,4,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.1,4.0,0,18,0,Sales,Fully Meets,Indeed,dr_rich
0,3.73,4.0,0,12,0,Production,Fully Meets,Indeed,dr_rich
0,4.36,5.0,0,10,0,Production,Fully Meets,Google Search,dr_rich
0,3.4,5.0,0,13,0,Production,Fully Meets,Indeed,dr_rich
0,4.5,5.0,5,1,0,Software Engineering,Exceeds,LinkedIn,dr_rich
0,3.4,3.0,6,14,0,IT/IS,Fully Meets,Indeed,dr_rich
1,4.5,5.0,0,11,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,3.93,3.0,0,3,0,Production,Fully Meets,Google Search,dr_rich
0,3.69,3.0,0,18,0,Sales,Fully Meets,Indeed,dr_rich
1,3.98,4.0,0,1,0,Production,Fully Meets,Indeed,dr_rich
1,4.1,4.0,0,15,0,Production,Fully Meets,Other,dr_rich
0,4.21,5.0,0,4,0,Production,Fully Meets,Indeed,dr_rich
0,4.1,3.0,0,6,0,Sales,Exceeds,Indeed,dr_rich
0,2.44,5.0,0,18,4,Production,Needs Improvement,LinkedIn,dr_rich
1,5.0,3.0,5,11,0,IT/IS,Fully Meets,CareerBuilder,dr_rich
1,4.6,3.0,4,9,0,Software Engineering,Fully Meets,Diversity Job Fair,dr_rich
1,4.4,3.0,0,5,0,Production,Fully Meets,LinkedIn,dr_rich
0,5.0,4.0,7,8,0,IT/IS,Fully Meets,Employee Referral,dr_rich
0,2.81,3.0,0,16,0,Sales,Fully Meets,Indeed,dr_rich
1,4.5,5.0,0,15,0,Production,Exceeds,LinkedIn,dr_rich
0,3.93,3.0,0,19,0,Production,Fully Meets,Employee Referral,dr_rich
0,4.5,4.0,0,11,0,Sales,Fully Meets,Website,dr_rich
1,4.33,3.0,7,9,0,IT/IS,Fully Meets,Employee Referral,dr_rich
1,4.3,5.0,0,18,0,Production,Exceeds,Google Search,dr_rich
0,3.21,3.0,0,7,0,Production,Fully Meets,LinkedIn,dr_rich
0,3.11,5.0,0,4,0,Production,Fully Meets,Employee Referral,dr_rich
1,4.5,3.0,0,5,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,2.5,3.0,0,13,6,Production,Needs Improvement,CareerBuilder,dr_rich
0,3.42,4.0,7,17,0,IT/IS,Fully Meets,Indeed,dr_rich
0,4.2,4.0,8,7,0,IT/IS,Fully Meets,Employee Referral,dr_rich
1,5.0,5.0,0,11,0,Production,Fully Meets,LinkedIn,dr_rich
1,5.0,3.0,0,7,0,Production,Fully Meets,Website,dr_rich
1,3.6,5.0,0,9,0,Production,Fully Meets,Google Search,dr_rich
1,4.3,4.0,0,16,0,Production,Fully Meets,Diversity Job Fair,dr_rich
1,5.0,3.0,0,7,0,Production,Exceeds,LinkedIn,dr_rich
0,3.4,4.0,0,14,0,Production,Fully Meets,LinkedIn,dr_rich
0,4.07,4.0,0,13,0,Production,Fully Meets,LinkedIn,dr_rich
1,3.2,2.0,0,4,5,Production,PIP,Google Search,dr_rich
0,4.6,5.0,6,16,0,IT/IS,Exceeds,Employee Referral,dr_rich
0,5.0,3.0,5,11,0,IT/IS,Fully Meets,Employee Referral,dr_rich
0,4.5,5.0,0,2,0,Production,Fully Meets,LinkedIn,dr_rich
1,3.125,5.0,8,0,0,Sales,Fully Meets,Unknown,ibm
0,3.125,2.5,1,24,0,Research & Development,Exceeds,Unknown,ibm
1,3.75,3.75,6,8,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,3.75,1,0,0,Research & Development,Fully Meets,Unknown,ibm
0,2.5,2.5,9,2,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,5.0,0,4,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,1.25,4,18,0,Research & Development,Exceeds,Unknown,ibm
0,4.375,3.75,1,22,0,Research & Development,Exceeds,Unknown,ibm
0,3.75,3.75,0,20,0,Research & Development,Exceeds,Unknown,ibm
0,3.75,3.75,6,4,0,Research & Development,Fully Meets,Unknown,ibm
0,3.125,2.5,0,4,0,Research & Development,Fully Meets,Unknown,ibm
0,3.75,3.75,0,2,0,Research & Development,Fully Meets,Unknown,ibm
0,2.5,3.75,1,12,0,Research & Development,Fully Meets,Unknown,ibm
0,3.125,5.0,0,0,0,Research & Development,Fully Meets,Unknown,ibm
1,3.125,3.75,5,6,0,Research & Development,Fully Meets,Unknown,ibm
0,3.75,1.25,1,0,0,Research & Development,Fully Meets,Unknown,ibm
0,3.125,2.5,0,2,0,Research & Development,Fully Meets,Unknown,ibm
0,5.0,5.0,1,4,0,Research & Development,Fully Meets,Unknown,ibm
0,1.875,5.0,2,10,0,Sales,Fully Meets,Unknown,ibm
0,4.375,5.0,5,0,0,Research & Development,Fully Meets,Unknown,ibm
